opening_name,prev_moves,last_move
Sicilian Defense: Dragon Variation |  Yugoslav Attack |  Main Line,e4 c5 Nf3 d6 d4 cxd4 Nxd4 Nf6 Nc3 g6 Be3 Bg7 f3 O-O Qd2,Nc6
Sicilian Defense: Dragon Variation |  Yugoslav Attack |  Main Line,e4 c5 Nf3 d6 d4 cxd4 Nxd4 Nf6 Nc3 g6 Be3 Bg7 f3 O-O Qd2 Nc6,Bc4
Sicilian Defense: Dragon Variation |  Yugoslav Attack |  Main Line,e4 c5 Nf3 d6 d4 cxd4 Nxd4 Nf6 Nc3 g6 Be3 Bg7 f3 O-O Qd2 Nc6 Bc4,Be6
Sicilian Defense: Dragon Variation |  Yugoslav Attack |  Main Line,e4 c5 Nf3 d6 d4 cxd4 Nxd4 Nf6 Nc3 g6 Be3 Bg7 f3 O-O Qd2 Nc6 Bc4 Be6,Bxe6
Sicilian Defense: Dragon Variation |  Yugoslav Attack |  Main Line,e4 c5 Nf3 d6 d4 cxd4 Nxd4 Nf6 Nc3 g6 Be3 Bg7 f3 O-O Qd2 Nc6 Bc4 Be6 Bxe6,Nxd4
Sicilian Defense: Dragon Variation |  Yugoslav Attack |  Main Line,e4 c5 Nf3 d6 d4 cxd4 Nxd4 Nf6 Nc3 g6 Be3 Bg7 f3 O-O Qd2 Nc6 Bc4 Be6 Bxe6 Nxd4,Bxf7+
Sicilian Defense: Dragon Variation |  Yugoslav Attack |  Main Line,e4 c5 Nf3 d6 d4 cxd4 Nxd4 Nf6 Nc3 g6 Be3 Bg7 f3 O-O Qd2 Nc6 Bc4 Be6 Bxe6 Nxd4 Bxf7+,Rxf7
Sicilian Defense: Dragon Variation |  Yugoslav Attack |  Main Line,e4 c5 Nf3 d6 d4 cxd4 Nxd4 Nf6 Nc3 g6 Be3 Bg7 f3 O-O Qd2 Nc6 Bc4 Be6 Bxe6 Nxd4 Bxf7+ Rxf7,Bxd4
Sicilian Defense: Dragon Variation |  Yugoslav Attack |  Main Line,e4 c5 Nf3 d6 d4 cxd4 Nxd4 Nf6 Nc3 g6 Be3 Bg7 f3 O-O Qd2 Nc6 Bc4 Be6 Bxe6 Nxd4 Bxf7+ Rxf7 Bxd4,d5
Sicilian Defense: Dragon Variation |  Yugoslav Attack |  Main Line,e4 c5 Nf3 d6 d4 cxd4 Nxd4 Nf6 Nc3 g6 Be3 Bg7 f3 O-O Qd2 Nc6 Bc4 Be6 Bxe6 Nxd4 Bxf7+ Rxf7 Bxd4 d5,e5
Sicilian Defense: Dragon Variation |  Yugoslav Attack |  Main Line,e4 c5 Nf3 d6 d4 cxd4 Nxd4 Nf6 Nc3 g6 Be3 Bg7 f3 O-O Qd2 Nc6 Bc4 Be6 Bxe6 Nxd4 Bxf7+ Rxf7 Bxd4 d5 e5,Ne8
Sicilian Defense: Dragon Variation |  Yugoslav Attack |  Main Line,e4 c5 Nf3 d6 d4 cxd4 Nxd4 Nf6 Nc3 g6 Be3 Bg7 f3 O-O Qd2 Nc6 Bc4 Be6 Bxe6 Nxd4 Bxf7+ Rxf7 Bxd4 d5 e5 Ne8,e6
Sicilian Defense: Dragon Variation |  Yugoslav Attack |  Main Line,e4 c5 Nf3 d6 d4 cxd4 Nxd4 Nf6 Nc3 g6 Be3 Bg7 f3 O-O Qd2 Nc6 Bc4 Be6 Bxe6 Nxd4 Bxf7+ Rxf7 Bxd4 d5 e5 Ne8 e6,Rf8
Sicilian Defense: Dragon Variation |  Yugoslav Attack |  Main Line,e4 c5 Nf3 d6 d4 cxd4 Nxd4 Nf6 Nc3 g6 Be3 Bg7 f3 O-O Qd2 Nc6 Bc4 Be6 Bxe6 Nxd4 Bxf7+ Rxf7 Bxd4 d5 e5 Ne8 e6 Rf8,O-O-O
Sicilian Defense: Dragon Variation |  Yugoslav Attack |  Main Line,e4 c5 Nf3 d6 d4 cxd4 Nxd4 Nf6 Nc3 g6 Be3 Bg7 f3 O-O Qd2 Nc6 Bc4 Be6 Bxe6 Nxd4 Bxf7+ Rxf7 Bxd4 d5 e5 Ne8 e6 Rf8 O-O-O,Bxd4
Sicilian Defense: Dragon Variation |  Yugoslav Attack |  Main Line,e4 c5 Nf3 d6 d4 cxd4 Nxd4 Nf6 Nc3 g6 Be3 Bg7 f3 O-O Qd2 Nc6 Bc4 Be6 Bxe6 Nxd4 Bxf7+ Rxf7 Bxd4 d5 e5 Ne8 e6 Rf8 O-O-O Bxd4,Qxd4
Sicilian Defense: Dragon Variation |  Yugoslav Attack |  Main Line,e4 c5 Nf3 d6 d4 cxd4 Nxd4 Nf6 Nc3 g6 Be3 Bg7 f3 O-O Qd2 Nc6 Bc4 Be6 Bxe6 Nxd4 Bxf7+ Rxf7 Bxd4 d5 e5 Ne8 e6 Rf8 O-O-O Bxd4 Qxd4,Qa5
Sicilian Defense: Dragon Variation |  Yugoslav Attack |  Main Line,e4 c5 Nf3 d6 d4 cxd4 Nxd4 Nf6 Nc3 g6 Be3 Bg7 f3 O-O Qd2 Nc6 Bc4 Be6 Bxe6 Nxd4 Bxf7+ Rxf7 Bxd4 d5 e5 Ne8 e6 Rf8 O-O-O Bxd4 Qxd4 Qa5,Nxd5
Sicilian Defense: Dragon Variation |  Yugoslav Attack |  Main Line,e4 c5 Nf3 d6 d4 cxd4 Nxd4 Nf6 Nc3 g6 Be3 Bg7 f3 O-O Qd2 Nc6 Bc4 Be6 Bxe6 Nxd4 Bxf7+ Rxf7 Bxd4 d5 e5 Ne8 e6 Rf8 O-O-O Bxd4 Qxd4 Qa5 Nxd5,Rc8
Sicilian Defense: Dragon Variation |  Yugoslav Attack |  Main Line,e4 c5 Nf3 d6 d4 cxd4 Nxd4 Nf6 Nc3 g6 Be3 Bg7 f3 O-O Qd2 Nc6 Bc4 Be6 Bxe6 Nxd4 Bxf7+ Rxf7 Bxd4 d5 e5 Ne8 e6 Rf8 O-O-O Bxd4 Qxd4 Qa5 Nxd5 Rc8,Nxe7#
Scandinavian Defense: Mieses-Kotroc Variation,None,e4
Scandinavian Defense: Mieses-Kotroc Variation,e4,d5
Scandinavian Defense: Mieses-Kotroc Variation,e4 d5,exd5
Scandinavian Defense: Mieses-Kotroc Variation,e4 d5 exd5,Qxd5
Scandinavian Defense: Mieses-Kotroc Variation,e4 d5 exd5 Qxd5,Qf3
Scandinavian Defense: Mieses-Kotroc Variation,e4 d5 exd5 Qxd5 Qf3,Qe5+
Scandinavian Defense: Mieses-Kotroc Variation,e4 d5 exd5 Qxd5 Qf3 Qe5+,Ne2
Scandinavian Defense: Mieses-Kotroc Variation,e4 d5 exd5 Qxd5 Qf3 Qe5+ Ne2,Nf6
Scandinavian Defense: Mieses-Kotroc Variation,e4 d5 exd5 Qxd5 Qf3 Qe5+ Ne2 Nf6,d4
Scandinavian Defense: Mieses-Kotroc Variation,e4 d5 exd5 Qxd5 Qf3 Qe5+ Ne2 Nf6 d4,Qd5
Scandinavian Defense: Mieses-Kotroc Variation,e4 d5 exd5 Qxd5 Qf3 Qe5+ Ne2 Nf6 d4 Qd5,Qxd5
Scandinavian Defense: Mieses-Kotroc Variation,e4 d5 exd5 Qxd5 Qf3 Qe5+ Ne2 Nf6 d4 Qd5 Qxd5,Nxd5
Scandinavian Defense: Mieses-Kotroc Variation,e4 d5 exd5 Qxd5 Qf3 Qe5+ Ne2 Nf6 d4 Qd5 Qxd5 Nxd5,a3
Scandinavian Defense: Mieses-Kotroc Variation,e4 d5 exd5 Qxd5 Qf3 Qe5+ Ne2 Nf6 d4 Qd5 Qxd5 Nxd5 a3,Nb6
Scandinavian Defense: Mieses-Kotroc Variation,e4 d5 exd5 Qxd5 Qf3 Qe5+ Ne2 Nf6 d4 Qd5 Qxd5 Nxd5 a3 Nb6,Ng3
Scandinavian Defense: Mieses-Kotroc Variation,e4 d5 exd5 Qxd5 Qf3 Qe5+ Ne2 Nf6 d4 Qd5 Qxd5 Nxd5 a3 Nb6 Ng3,Nc6
Scandinavian Defense: Mieses-Kotroc Variation,e4 d5 exd5 Qxd5 Qf3 Qe5+ Ne2 Nf6 d4 Qd5 Qxd5 Nxd5 a3 Nb6 Ng3 Nc6,Be3
Scandinavian Defense: Mieses-Kotroc Variation,e4 d5 exd5 Qxd5 Qf3 Qe5+ Ne2 Nf6 d4 Qd5 Qxd5 Nxd5 a3 Nb6 Ng3 Nc6 Be3,e5
Scandinavian Defense: Mieses-Kotroc Variation,e4 d5 exd5 Qxd5 Qf3 Qe5+ Ne2 Nf6 d4 Qd5 Qxd5 Nxd5 a3 Nb6 Ng3 Nc6 Be3 e5,dxe5
Scandinavian Defense: Mieses-Kotroc Variation,e4 d5 exd5 Qxd5 Qf3 Qe5+ Ne2 Nf6 d4 Qd5 Qxd5 Nxd5 a3 Nb6 Ng3 Nc6 Be3 e5 dxe5,Nxe5
Scandinavian Defense: Mieses-Kotroc Variation,e4 d5 exd5 Qxd5 Qf3 Qe5+ Ne2 Nf6 d4 Qd5 Qxd5 Nxd5 a3 Nb6 Ng3 Nc6 Be3 e5 dxe5 Nxe5,Nd2
Scandinavian Defense: Mieses-Kotroc Variation,e4 d5 exd5 Qxd5 Qf3 Qe5+ Ne2 Nf6 d4 Qd5 Qxd5 Nxd5 a3 Nb6 Ng3 Nc6 Be3 e5 dxe5 Nxe5 Nd2,Be6
Scandinavian Defense: Mieses-Kotroc Variation,e4 d5 exd5 Qxd5 Qf3 Qe5+ Ne2 Nf6 d4 Qd5 Qxd5 Nxd5 a3 Nb6 Ng3 Nc6 Be3 e5 dxe5 Nxe5 Nd2 Be6,O-O-O
Scandinavian Defense: Mieses-Kotroc Variation,e4 d5 exd5 Qxd5 Qf3 Qe5+ Ne2 Nf6 d4 Qd5 Qxd5 Nxd5 a3 Nb6 Ng3 Nc6 Be3 e5 dxe5 Nxe5 Nd2 Be6 O-O-O,Nbc4
Scandinavian Defense: Mieses-Kotroc Variation,e4 d5 exd5 Qxd5 Qf3 Qe5+ Ne2 Nf6 d4 Qd5 Qxd5 Nxd5 a3 Nb6 Ng3 Nc6 Be3 e5 dxe5 Nxe5 Nd2 Be6 O-O-O Nbc4,Nxc4
Scandinavian Defense: Mieses-Kotroc Variation,e4 d5 exd5 Qxd5 Qf3 Qe5+ Ne2 Nf6 d4 Qd5 Qxd5 Nxd5 a3 Nb6 Ng3 Nc6 Be3 e5 dxe5 Nxe5 Nd2 Be6 O-O-O Nbc4 Nxc4,Nxc4
