FEN,eval,next_move
3n3k/1p4rp/p1p2r2/2qP1p2/5P2/P4B1R/KP2Q3/7R b - - 1 42,-0.17,
r4rk1/1b2bpp1/p3pB1p/1pn5/8/2N1PN2/PP3PPP/1BRq1RK1 w - - 0 16,0.23,
r1b2rk1/pp3pbp/2n1p1p1/q1p5/3PP3/2P2N1P/P2BBPP1/R2Q1RK1 b - - 1 12,-0.27,
3r2k1/2r3pp/p3p3/P7/4R3/2P4P/5PP1/1R4K1 b - - 0 33,-0.44,
k1r2b1r/2q2p2/BR2p2p/3pP1p1/3Q4/2P3nP/P1P2PP1/6K1 w - - 1 26,-0.4,
1nrq1bk1/2rb3p/3p1p2/1p1PpPp1/nP2P3/3B1NNP/4Q1PK/R1B2R2 b - - 3 33,-0.57,
4r3/4r1bk/1R4p1/p2P1p2/4p3/P3N1PP/1P6/4RK2 b - - 0 34,-0.35,
r1b2rk1/1pqn1ppp/p3pb2/2P3N1/2B5/8/PPP1QPPP/R1B1R1K1 b - - 1 12,0.0,
rnb1kb1r/pppp1pp1/4pq1p/8/3P4/5N2/PPP1PPPP/RN1QKB1R w KQkq - 0 5,0.07,
6k1/7p/3p2p1/3PN3/r1p5/7P/1P2R1P1/7K b - - 0 53,-0.22,
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,0.24,
r2qr1k1/1p1n1pp1/p1pbbn1p/3p4/3P3B/3BPN1P/PP2NPP1/R2Q1RK1 w - - 0 13,0.0,
rn1q1rk1/pbp2ppp/1p2pn2/3p4/1bPP4/3BPN2/PPQN1PPP/R1B2RK1 b - - 3 8,-0.17,
2rq1rk1/1b3ppn/pp6/2b1N3/3p4/PPNQ4/1B3PPP/R3R1K1 w - - 0 18,0.16,
r1bqkb1r/ppppnppp/5n2/1B2p3/4P3/2NP1N2/PPP2PPP/R1BQK2R b KQkq - 2 5,-0.32,
r1bqk2r/pp3ppp/2pbpn2/8/2PPB3/5N2/PP3PPP/R1BQK2R w KQkq - 1 10,0.35,
rnbqkb1r/pppp1ppp/5n2/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 3,0.26,
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,0.13,
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,0.14,
2k1n2r/pp1rbpp1/1np1p3/6p1/P2PP1P1/2N1B3/1P2BP1P/1K1R3R b - - 0 18,-0.23,
2r3k1/p4pp1/1pr1p2p/8/1Pn2P2/4N3/PbR2BPP/3R2K1 b - - 3 32,0.79,
rnbqk2r/pppp1ppp/4pn2/8/1bPP4/5N2/PP1BPPPP/RN1QKB1R b KQkq - 3 4,-0.15,
r5k1/pb4pp/1p6/2pPn2q/QbPn1B2/2N2PP1/PP5P/R2K1B1R b - - 0 16,5.61,
2bbk2r/6p1/p1p5/3nq2p/4N3/7P/PPPQ2P1/3R1R1K w k - 0 24,3.48,
rnbqkb1r/pppppppp/8/3nP3/8/8/PPPP1PPP/RNBQKBNR w KQkq - 1 3,0.29,
rnbq1rk1/ppppbppp/5n2/6B1/2BQ4/2N2N2/PPP2PPP/R3K2R w KQ - 5 8,-0.18,
4B3/1p3p2/p2b1kpp/3P4/8/5P1P/PP3PK1/8 w - - 1 33,-0.05,
3r2k1/2nqbp1p/1p1pp1p1/pNr5/P1P5/1P1RPBP1/2R2P1P/3Q2K1 w - - 6 27,0.42,
5r1k/pp3p2/2p2Pp1/3q4/4r1P1/P5QP/5R2/5RK1 b - - 0 31,0.5,
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,0.13,
r1bq1rk1/pp1nb1pp/2p1p3/3p1p2/2PPn3/2N2NP1/PPQBPPBP/1R1R2K1 b - - 1 11,-0.07,
r1b1k2r/1p1p1pb1/p3q2p/2BP2p1/1P1p4/3P4/P1PQ1PPP/4R1K1 b - - 5 21,-0.53,
rnbqkb1r/ppp2ppp/3p1n2/8/8/3P1N2/PPP2PPP/RNBQKB1R w KQkq - 1 6,0.04,
r7/1b2Q1k1/p1q1p1p1/1p3r1p/6N1/1B3P2/PPP3PP/2KR3R b - - 1 20,-8.66,
r4rk1/ppnqp2p/3n4/3P1pPP/2p5/2b1B1P1/PP4B1/R2Q1RK1 w - - 0 19,0.0,
6k1/5p2/5qp1/4p2p/3bP3/5Q1P/5PP1/3B2K1 b - - 2 40,0.03,
3qr1k1/6bp/p5p1/Pp1bB1P1/2nP3P/5p1B/5Q2/3R1R1K b - - 1 41,0.81,
